,Date,Hour,ProductionLt100MW,ProductionGe100MW,OffshoreWindPower,OnshoreWindPower,SolarPower,ExchangeGreatBelt,ExchangeGermany,ExchangeNetherlands,ExchangeNorway,ExchangeSweden,BornholmSE4,Sum,Weekday,Month,HourDK
366,2020-01-16,7,453.66249999999997,880.2558333333333,1309.9825,2356.5691666666667,0.0,0.0,-7.626666666666665,-700.2216666666667,497.83916666666664,227.36333333333334,2.748333333333333,5020.5725,3.0,1.0,2020-01-16 07:00:00
367,2020-01-16,8,456.8858333333333,993.7891666666666,1312.4975000000002,2458.765,1.1050000000000002,0.0,-559.4083333333333,-700.1025,847.2466666666666,210.76083333333335,3.0141666666666667,5024.553333333333,3.0,1.0,2020-01-16 08:00:00
368,2020-01-16,9,473.44,978.2358333333333,1196.6008333333332,2343.103333333333,24.9175,0.0,-510.9075,-700.2091666666666,875.1291666666666,308.62916666666666,-3.9716666666666662,4984.9675,3.0,1.0,2020-01-16 09:00:00
369,2020-01-16,10,568.0608333333333,1358.8583333333333,1151.4716666666666,2457.9,67.12166666666667,0.0,-981.1566666666668,-699.66,840.8933333333333,293.62166666666667,-6.109166666666667,5051.001666666667,3.0,1.0,2020-01-16 10:00:00
370,2020-01-16,11,557.7033333333334,1338.4466666666667,1181.4158333333332,2236.9258333333332,117.59916666666668,0.0,-1113.5225,-699.6750000000001,891.8991666666667,524.52,-6.779166666666666,5028.533333333334,3.0,1.0,2020-01-16 11:00:00
371,2020-01-16,12,555.8783333333333,1491.2216666666666,1031.335,2092.16,149.03916666666666,0.0,-1337.0841666666668,-699.85,945.2333333333332,761.9133333333333,-7.4558333333333335,4982.390833333334,3.0,1.0,2020-01-16 12:00:00
372,2020-01-16,13,572.0158333333334,1406.7141666666666,967.8683333333333,1892.5191666666667,131.95166666666668,0.0,-1420.3100000000002,-699.85,948.4141666666666,1081.8491666666666,-5.460833333333333,4875.711666666667,3.0,1.0,2020-01-16 13:00:00
373,2020-01-16,14,564.3175,1240.8583333333333,943.9141666666666,1762.8500000000001,73.1775,0.0,-1159.8958333333333,-699.85,908.4266666666666,1163.5008333333333,-0.7675000000000001,4796.531666666667,3.0,1.0,2020-01-16 14:00:00
374,2020-01-16,15,557.7283333333334,1303.3333333333333,988.105,1471.8025,22.881666666666664,0.0,-949.3025000000001,-699.85,895.1933333333333,1202.26,2.8691666666666666,4795.020833333333,3.0,1.0,2020-01-16 15:00:00
375,2020-01-16,16,553.5808333333333,1261.4175,1210.8333333333333,1365.2608333333335,1.0591666666666668,0.0,-987.6775000000001,-699.77,911.66,1352.1025,18.420833333333334,4986.8875,3.0,1.0,2020-01-16 16:00:00
376,2020-01-16,17,595.0825,1604.3075,1231.5925,1404.9525,0.004166666666666667,0.0,-1422.5375000000001,-699.985,946.3283333333334,1580.3133333333335,30.117500000000003,5270.175833333334,3.0,1.0,2020-01-16 17:00:00
377,2020-01-16,18,618.8658333333334,1370.9766666666667,1237.6758333333335,1512.7141666666666,0.0,0.0,-1461.6483333333333,-699.8066666666667,949.6716666666666,1550.265,32.15333333333333,5110.8675,3.0,1.0,2020-01-16 18:00:00
378,2020-01-16,19,512.8125,1254.8891666666666,1286.3774999999998,1630.5583333333334,0.0,0.0,-1361.5183333333334,-699.7199999999999,941.0724999999999,1238.5874999999999,27.650833333333335,4830.71,3.0,1.0,2020-01-16 19:00:00
379,2020-01-16,20,465.5758333333333,1132.1666666666667,1290.1975,1873.1066666666666,0.0,0.0,-1151.2033333333334,-699.7783333333333,728.0933333333334,876.4091666666667,24.03,4538.5975,3.0,1.0,2020-01-16 20:00:00
380,2020-01-16,21,429.6041666666667,1027.3191666666667,1231.5658333333333,2067.0241666666666,0.0,0.0,-747.2133333333333,-699.9266666666667,168.665,909.5408333333334,22.719166666666666,4409.298333333333,3.0,1.0,2020-01-16 21:00:00
381,2020-01-16,22,422.84083333333336,945.9841666666666,1362.5716666666667,2134.221666666667,0.0,0.0,-542.9333333333333,-699.7000000000002,-249.91666666666666,756.89,18.784166666666668,4148.7425,3.0,1.0,2020-01-16 22:00:00
382,2020-01-16,23,431.49333333333334,897.9758333333333,1295.5583333333334,1924.0066666666664,0.0,0.0,-64.23416666666667,-699.8249999999999,-788.5,920.9991666666666,16.085,3933.5591666666664,3.0,1.0,2020-01-16 23:00:00
383,2020-01-17,0,440.3516666666667,974.9991666666666,1253.1425000000002,1860.3308333333334,0.0,0.0,44.53833333333332,-699.75,-885.5,691.1658333333334,11.6625,3690.9408333333336,4.0,1.0,2020-01-17 00:00:00
384,2020-01-17,1,441.3458333333333,987.7425,1249.4891666666667,1894.3916666666667,0.0,0.0,11.558333333333323,-699.6516666666666,-850.75,503.8241666666667,5.465,3543.4150000000004,4.0,1.0,2020-01-17 01:00:00
385,2020-01-17,2,442.21416666666664,923.1333333333333,1102.3341666666668,1649.1175,0.0,0.0,474.59083333333336,-699.6624999999999,-990.5,602.0733333333334,-0.4575,3502.843333333333,4.0,1.0,2020-01-17 02:00:00
386,2020-01-17,3,461.88166666666666,912.2766666666666,1166.7366666666667,1662.4166666666667,0.0,0.0,531.2958333333333,-699.64,-814.9166666666666,313.75416666666666,-1.7033333333333334,3532.101666666667,4.0,1.0,2020-01-17 03:00:00
387,2020-01-17,4,465.42249999999996,973.4041666666667,1168.205,1622.3633333333335,0.0,0.0,540.0124999999999,-699.64,-316.4166666666667,-163.35166666666666,-2.3575,3587.641666666667,4.0,1.0,2020-01-17 04:00:00
388,2020-01-17,5,466.69083333333333,978.9775,1121.8191666666667,1553.4208333333333,0.0,0.0,589.2483333333333,-700.4241666666667,-76.39666666666666,-103.07083333333333,0.7666666666666666,3831.031666666667,4.0,1.0,2020-01-17 05:00:00
389,2020-01-17,6,498.0083333333334,1078.0941666666668,1208.0766666666666,1535.8999999999999,0.0,0.0,518.0224999999999,-699.9416666666666,197.39166666666665,8.797500000000005,3.1875,4347.536666666667,4.0,1.0,2020-01-17 06:00:00
390,2020-01-17,7,527.2225,1191.2291666666667,1358.8366666666666,1728.2183333333332,0.0,0.0,147.32833333333335,-700.2866666666667,576.8075,110.29,10.766666666666666,4950.412499999999,4.0,1.0,2020-01-17 07:00:00
391,2020-01-17,8,544.1058333333334,1120.0825,1377.5408333333332,1726.2575,2.986666666666667,0.0,44.764166666666654,-700.3874999999999,885.8366666666666,147.76500000000001,11.646666666666667,5160.598333333333,4.0,1.0,2020-01-17 08:00:00
392,2020-01-17,9,540.1991666666667,1158.4875,1373.1366666666665,1621.43,48.038333333333334,0.0,36.48583333333334,-699.9025,928.8425000000001,119.72916666666667,8.591666666666667,5135.038333333334,4.0,1.0,2020-01-17 09:00:00
393,2020-01-17,10,554.6833333333333,1154.4958333333334,1345.8308333333332,1646.4883333333335,131.69083333333333,0.0,-41.76,-699.88,940.1916666666666,-31.270833333333332,4.565,5005.035,4.0,1.0,2020-01-17 10:00:00
394,2020-01-17,11,537.8141666666667,1172.095,1303.1966666666667,1673.0983333333334,177.2675,0.0,-44.89833333333335,-699.8083333333334,940.4266666666666,-151.45749999999998,-1.545,4906.189166666666,4.0,1.0,2020-01-17 11:00:00
395,2020-01-17,12,569.4991666666666,1362.3958333333333,1261.8183333333334,1588.1425,173.78416666666666,0.0,-490.41499999999996,-699.9,914.0300000000001,-23.286666666666665,-4.889166666666667,4651.179166666667,4.0,1.0,2020-01-17 12:00:00
396,2020-01-17,13,580.2233333333334,1745.4458333333332,1202.4133333333332,1433.6416666666667,145.93583333333333,0.0,-929.4441666666667,-699.9,930.5158333333334,124.66333333333334,0.22833333333333328,4533.723333333332,4.0,1.0,2020-01-17 13:00:00
397,2020-01-17,14,646.4708333333333,1756.5758333333333,1078.7441666666666,1258.7908333333332,94.48416666666667,0.0,-1284.8933333333332,-699.8066666666667,941.3275,592.8516666666666,0.9608333333333334,4385.505833333334,4.0,1.0,2020-01-17 14:00:00
398,2020-01-17,15,667.5183333333333,1486.7749999999999,981.7133333333333,1154.3,31.11583333333333,0.0,-1504.9733333333334,-699.89,948.3766666666667,1270.19,1.3641666666666667,4336.49,4.0,1.0,2020-01-17 15:00:00
399,2020-01-17,16,715.6883333333334,1582.9125000000001,864.7608333333334,1188.4141666666667,0.9858333333333333,0.0,-1748.8608333333334,-700.1566666666666,948.9416666666666,1700.4841666666669,4.528333333333333,4557.698333333334,4.0,1.0,2020-01-17 16:00:00
400,2020-01-17,17,764.6841666666668,1999.0258333333334,791.6408333333334,1124.0933333333335,0.0008333333333333334,0.0,-1781.415,-700.0891666666666,949.1741666666667,1744.2758333333334,10.264166666666666,4901.655,4.0,1.0,2020-01-17 17:00:00
401,2020-01-17,18,760.52,1987.4033333333334,810.8525,1027.4416666666666,0.0,0.0,-1684.6241666666667,-666.5141666666667,949.0283333333333,1585.3641666666665,9.701666666666666,4779.173333333333,4.0,1.0,2020-01-17 18:00:00
402,2020-01-17,19,719.4966666666666,1659.695,925.2058333333333,891.8316666666666,0.0,0.0,-1753.6708333333333,-698.5583333333334,949.065,1718.5483333333334,7.795833333333333,4419.409166666667,4.0,1.0,2020-01-17 19:00:00
