Month,MunicipalityNo,OnshoreWindPower,OffshoreWindPower,SolarPower,CentralPower,DecentralPower
2022-01-01T00:00:00,760,123637.2006,0,774.441,0,5789.49701
2022-01-01T00:00:00,756,13392.34738,0,118.741,0,1788.566098
2022-01-01T00:00:00,751,2557.255886,0,550.363,220203.045,31354.62952
2022-01-01T00:00:00,746,4020.457207,0,151.42,0,1788.8595
2022-01-01T00:00:00,741,3609.130502,0,23.043,0,0
2022-01-01T00:00:00,740,4316.316212,0,527.41,0,35011.59734
2022-01-01T00:00:00,730,68616.78534,0,801.188,19679.73697,898.862056
2022-01-01T00:00:00,727,4175.614715,1593.3917,52.872,0,57.947756
2022-01-01T00:00:00,710,7531.454463,0,122.226,0,1381.094428
2022-01-01T00:00:00,707,10857.5949,206703.7687,551.662,0,27.200762
2022-01-01T00:00:00,706,4857.85005,0,167.518,0,325.190662
2022-01-01T00:00:00,671,19129.70843,0,67.566,0,0
2022-01-01T00:00:00,665,52811.09919,20559.37227,982.4,0,5454.51759
2022-01-01T00:00:00,661,55413.89129,0,2302.429,0,15080.4355
2022-01-01T00:00:00,657,29898.83791,0,319.246,37913.97219,1409.720281
2022-01-01T00:00:00,630,10295.8949,0,1267.45,0,1172.915696
2022-01-01T00:00:00,621,7034.611201,0,226.817,0,5047.57999
2022-01-01T00:00:00,615,931.207453,0,288.337,0,3328.981109
2022-01-01T00:00:00,607,503.935483,0,84.132,21181.57203,14109.83446
2022-01-01T00:00:00,580,17514.88762,0,402.454,0,627.146788
2022-01-01T00:00:00,575,12197.11067,0,123.28,0,933.779396
2022-01-01T00:00:00,573,27096.27769,0,199.749,0,2847.335603
2022-01-01T00:00:00,563,649.4898,0,10.868,0,0
2022-01-01T00:00:00,561,23929.1102,154873.5364,189.246,139429.3171,16314.71044
2022-01-01T00:00:00,550,39070.39877,0,115.79,0,1180.769018
2022-01-01T00:00:00,540,3826.004417,0,675.822,0,3991.014676
2022-01-01T00:00:00,530,21748.5254,0,80.565,0,1059.761647
2022-01-01T00:00:00,510,8980.183196,0,202.16,0,868.269349
2022-01-01T00:00:00,492,4273.124306,0,22.53,0,356.246436
2022-01-01T00:00:00,482,13797.312,0,35.968,0,0
2022-01-01T00:00:00,480,5551.010846,0,74.996,0,256.522765
2022-01-01T00:00:00,479,8296.113277,0,178.039,0,3440.855078
2022-01-01T00:00:00,461,2232.825588,0,320.363,86424.45989,37965.72746
2022-01-01T00:00:00,450,6555.371266,0,54.909,0,2713.7152
2022-01-01T00:00:00,440,7404.929024,0,56.45,0,0.7016
2022-01-01T00:00:00,430,3482.114966,0,139.633,0,1012.073466
2022-01-01T00:00:00,420,6679.380971,0,176.707,0,2822.167222
2022-01-01T00:00:00,411,,,0,,
2022-01-01T00:00:00,410,3112.173457,0,123.225,0,617.139944
2022-01-01T00:00:00,400,9286.845618,0,533.111,5148.586,1641.557
2022-01-01T00:00:00,390,4316.937153,0,142.473,5396.7966,1099.849505
2022-01-01T00:00:00,376,15130.43052,59583.94864,383.313,0,10940.4442
2022-01-01T00:00:00,370,17643.65535,0,1090.422,0,3599.721027
2022-01-01T00:00:00,360,90294.65367,96124.9955,815.688,0,0
2022-01-01T00:00:00,350,1512.408091,0,86.682,0,443.883216
2022-01-01T00:00:00,340,1719.85003,0,63.08,0,347.410334
2022-01-01T00:00:00,336,2579.90106,0,86.879,0,31.004829
2022-01-01T00:00:00,330,8267.912035,6888.7281,548.609,0,7489.60636
2022-01-01T00:00:00,329,1977.901391,0,87.737,0,485.626141
2022-01-01T00:00:00,326,23343.73801,0,870.204,7995.052882,1485.459134
2022-01-01T00:00:00,320,6827.322977,0,209.25,0,2556.859338
2022-01-01T00:00:00,316,15306.22564,0,305.962,0,302.514944
2022-01-01T00:00:00,306,1029.623125,0,101.361,0,338.64576
2022-01-01T00:00:00,270,184.951669,0,116.784,0,2306.77537
2022-01-01T00:00:00,269,57.33659,0,64.024,0,1638.956899
2022-01-01T00:00:00,265,722.398766,0,201.43,0,17448.30064
2022-01-01T00:00:00,260,895.532457,0,81.78,0,0.61677
2022-01-01T00:00:00,259,765.210977,0,146.192,0,7226.00546
2022-01-01T00:00:00,253,176.927935,0,120.382,0,17.84934
2022-01-01T00:00:00,250,385.051141,0,88.113,1275.11698,636.527754
2022-01-01T00:00:00,240,13.42142,0,86.262,0,296.461361
2022-01-01T00:00:00,230,,,69.193,0,93.15399
2022-01-01T00:00:00,223,,,27.821,0,6617.944516
2022-01-01T00:00:00,219,848.920306,0,121.777,0,2790.832368
2022-01-01T00:00:00,217,4.09224,0,64.998,0,9507.44841
2022-01-01T00:00:00,210,,,59.556,0,47.93519
2022-01-01T00:00:00,201,378.924139,0,69.559,0,136.20707
2022-01-01T00:00:00,190,,,40.371,0,25.56695
2022-01-01T00:00:00,187,,,9.525,0,0
2022-01-01T00:00:00,185,,,47.855,0,0
2022-01-01T00:00:00,183,0,0,34.562,0,0
2022-01-01T00:00:00,175,,,28.348,0,0
2022-01-01T00:00:00,173,,,55.382,0,3685.93831
2022-01-01T00:00:00,169,167.076505,0,121.667,0,15.57855
2022-01-01T00:00:00,167,451.410995,4305.6588,76.491,274264.243,94.80121
2022-01-01T00:00:00,165,,,21.395,0,2.3699
2022-01-01T00:00:00,163,,,47.794,0,0
2022-01-01T00:00:00,161,,,21.988,0,22631.86325
2022-01-01T00:00:00,159,,,49.462,0,0.97748
2022-01-01T00:00:00,157,,,37.578,0,0
2022-01-01T00:00:00,155,,,16.371,0,0
2022-01-01T00:00:00,153,,,38.361,0,0.004
2022-01-01T00:00:00,151,,,88.216,0,81.32636
2022-01-01T00:00:00,147,,,22.802,0,0
2022-01-01T00:00:00,101,2313.051627,10440.5088,237.939,26372.25593,104340.2792
2021-12-01T00:00:00,999,10137.7703,415376.7925,,0,13532.8299
2021-12-01T00:00:00,860,22921.46284,0,132.443,0,8266.73045
2021-12-01T00:00:00,851,25038.13108,0,187.438,209732.8159,16832.12315
2021-12-01T00:00:00,849,41896.38071,0,100.719,0,2806.20216
2021-12-01T00:00:00,846,16600.00373,0,88.593,0,1289.62128
2021-12-01T00:00:00,840,9467.815878,0,78.612,0,3878.90114
2021-12-01T00:00:00,825,0,0,44.317,0,0.15626
2021-12-01T00:00:00,820,28806.46707,0,96.074,0,2602.34363
